"id","username","profileURL","rating","title","review_url","asin","content","date","format_strip","verified","helpful","videoURL","video_cover_url","imgs","normalImgs"
"R1SCBOCGQNPIEQ","KD","https://www.amazon.com/gp/profile/amzn1.account.AGRR3FFPM3C6YQX6AE4YZ3B3VDHA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R1SCBOCGQNPIEQ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07DKZWC87","B07DKZWC87","Exactly as described and fit perfectly.","Reviewed in the United States on June 20, 2023","Size: One Size<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Color: Grill Heather/Black/Fish Flag","Verified Purchase","","","","[]","[]"
"R1EFID5QZ6CBAF","Kathy Welch","https://www.amazon.com/gp/profile/amzn1.account.AHNJ26IRCZQ6XQYNHGPTXTLAFSWA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R1EFID5QZ6CBAF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07DKZWC87","B07DKZWC87","Grandson loved it. It came in 2 days","Reviewed in the United States on May 29, 2023","Size: One Size<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Color: Cool Grey/White","Verified Purchase","One person found this helpful","","","[]","[]"
"R2HD4EGZQ9MENJ","Steve B","https://www.amazon.com/gp/profile/amzn1.account.AFICSLQJCIIS3Y2OVGZGMWUQILFA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R2HD4EGZQ9MENJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07DKZWC87","B07DKZWC87","Is your wife tired of you getting looks because you're a beautiful dad? When you leave the house does she look at you and say ""hey why do you look like that leaving the house"" This hat says I'm taken and I'm a dad more than anything. Never again does she have to worry. This is basically like wearing her on your head. Husbands just turn all this around if you want to show everyone she is taken. The hat says it all. Fish, the American flag, the trucker hat? YOU ARE SET! All jokes aside I love this hat and my daughter likes it too.","Reviewed in the United States on November 12, 2020","Size: One Size<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Color: Titanium/White","Verified Purchase","63 people found this helpful","","","[]","[]"
"R1CHGHEYJ8CRZG","Madyson Brooks","https://www.amazon.com/gp/profile/amzn1.account.AGFFN3WJUVR33MGSVHSCFCNBPBIA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R1CHGHEYJ8CRZG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07DKZWC87","B07DKZWC87","my boyfriend loved this hat and loved the fact it has the snap buttons in the back so he can adjust it to his head. i would buy this again!","Reviewed in the United States on January 17, 2023","Size: One Size<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Color: Titanium/White","Verified Purchase","","","","[]","[]"
"RWZRJQM9AZ7JU","Hannah Moore","https://www.amazon.com/gp/profile/amzn1.account.AGTWWTQZ3ALC7NIPR44FFHQ2TSXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","3","","https://www.amazon.com/gp/customer-reviews/RWZRJQM9AZ7JU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07DKZWC87","B07DKZWC87","Came just as it looks and as I read","Reviewed in the United States on August 30, 2023","Size: One Size<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Color: Collegiate Navy/Sunset Red","Verified Purchase","","","","[]","[]"
"R2V62RIRMYFOYS","Matthew","https://www.amazon.com/gp/profile/amzn1.account.AGKGKSX3D2S6SRFZUGWIQWJMRODA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","3","","https://www.amazon.com/gp/customer-reviews/R2V62RIRMYFOYS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07DKZWC87","B07DKZWC87","I wear hats almost everyday and I was in the market for a new one. The fish themed flag on the front of this hat caught my eye so I decided to purchase it.<br><br>This SnapBack fit my head very well—it’s snug enough to not fall off, but also doesn’t me discomfort. The material is good quality and has not shown any signs of easy staining yet.<br><br>My only complaint is the side tags. The tags on the side are quite large and look almost like an advertisement on the side of my head. There is no way to remove them or cut them off without ruining the netting of the hat. The front of the hat looks good, but the sides not so much in my opinion.","Reviewed in the United States on October 14, 2021","Size: One Size<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Color: Titanium/White","Verified Purchase","3 people found this helpful","","","[]","[]"
"R1QUMV7MUZ2XN","Deanna Davenport","https://www.amazon.com/gp/profile/amzn1.account.AHAAB6ENC6SORZA3BHGCHHN6HDQQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R1QUMV7MUZ2XN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07DKZWC87","B07DKZWC87","Husband likes it","Reviewed in the United States on June 5, 2023","Size: One Size<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Color: Vivid Blue/White","Verified Purchase","","","","[]","[]"
"R3ATCPQ9EFUV2I","Michael F.","https://www.amazon.com/gp/profile/amzn1.account.AHCB66WC3WPHABIE66YG6XZ3FW5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","4","","https://www.amazon.com/gp/customer-reviews/R3ATCPQ9EFUV2I/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07DKZWC87","B07DKZWC87","Nice hat. Fits as expected.","Reviewed in the United States on November 14, 2022","Size: One Size<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Color: Grill Heather/Black/Fish Flag","Verified Purchase","","","","[]","[]"
"R1J6MEZ6J2QY9K","Heather","https://www.amazon.com/gp/profile/amzn1.account.AGVJZOCDWJDM4CEEZ6ALY7PGM22A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","4","","https://www.amazon.com/gp/customer-reviews/R1J6MEZ6J2QY9K/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07DKZWC87","B07DKZWC87","Nice hat. Got for a gift but came in a bag instead of a box and was completely crushed and mangled","Reviewed in the United States on May 29, 2022","Size: One Size<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Color: Vivid Blue/White","Verified Purchase","One person found this helpful","","","[]","[]"
"R2ACTUOM394J1Y","steven","https://www.amazon.com/gp/profile/amzn1.account.AECL37NFITDKCATXAS2TLK2XOSLQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R2ACTUOM394J1Y/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07DKZWC87","B07DKZWC87","I was happy to find this hat. My favorite character from the show ""Seal Team"" (Sonny Quinn) wore it a lot in the 1st season of the show and when I saw it I wanted it. Luckily I managed to find it. Fits well, holds it's shape, the mesh does not seem to be cheaply made. Wear it almost every day.","Reviewed in the United States on September 14, 2021","Size: One Size<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Color: Collegiate Navy/Sunset Red","Verified Purchase","","","","[]","[]"
"R2AYSKZXE2F6N9","Justin","https://www.amazon.com/gp/profile/amzn1.account.AGGEMSJXP2D7UJQN4I6RW6A5RUHQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R2AYSKZXE2F6N9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07DKZWC87","B07DKZWC87","Fantastic quality","Reviewed in the United States on May 10, 2023","Size: One Size<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Color: Titanium, Black","Verified Purchase","","","","[]","[]"
